Post_ID,Position,Unit,First_Date,Last_Date,Appearances,Status_History
"127982","Java Developer","414 окрема бригада безпілотних систем «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127979","Tech Support","414 окрема бригада безпілотних систем «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127973","Senior Backend Engineer (Node.js)","414 окрема бригада безпілотних систем «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127970","Data Engineer","414 окрема бригада безпілотних систем «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127845","DevOps","414 окрема бригада безпілотних систем «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127835","CyberSec Engineer","414 окрема бригада безпілотних систем «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127832","Data Analytics","414 окрема бригада безпілотних систем «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127829","Frontend/React/Backend-розробник","414 окрема бригада безпілотних систем «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127826","Системний адміністратор (Active Directory/DHCP/DNS)","414 окрема бригада безпілотних систем «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127804","Full Stack Developer","17 бригада «Рейд»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"65749","Senior Java Backend Engineer","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127754","Спеціаліст із кіберзахисту","12 бригада спеціального призначення «Азов»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127717","Інженер з візуалізації даних","Міністерство Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127700","Офіцер служби захисту інформації","106 окрема бригада ТрО",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127657","Data Engineer","17 бригада «Рейд»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127513","OSINT/GeoINT-аналітик","414 окрема бригада безпілотних систем «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127495","DevOps/DataOps Engineer","17 бригада «Рейд»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127492","Оперативний аналітик","17 бригада «Рейд»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127489","OSINT-аналітик","17 Полтавська бригада «Рейд»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127486","Аналітик Power BI","17 бригада «Рейд»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127340","Системний адміністратор","762 окрема бригада охорони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127262","Data Analyst/QA","17 бригада «Рейд»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
